2020-10-09 13:36:35.011 [main] INFO  l.c.p.PropertyvalueannationApplication - Starting PropertyvalueannationApplication on DESKTOP-D83TP34 with PID 8476 (E:\Programs\Java\java-note\propertyvalueannation\target\classes started by lelan in E:\Programs\Java\java-note)
2020-10-09 13:36:35.014 [main] INFO  l.c.p.PropertyvalueannationApplication - No active profile set, falling back to default profiles: default
2020-10-09 13:36:36.373 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-10-09 13:36:36.389 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-09 13:36:36.390 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-10-09 13:36:36.392 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2020-10-09 13:36:36.392 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-10-09 13:36:36.393 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-10-09 13:36:36.399 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2020-10-09 13:36:36.596 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-09 13:36:36.597 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1485 ms
2020-10-09 13:36:36.884 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-09 13:36:37.149 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2020-10-09 13:36:37.163 [main] INFO  l.c.p.PropertyvalueannationApplication - Started PropertyvalueannationApplication in 3.045 seconds (JVM running for 4.388)
